,ISO2,ISO3,country,year,countries,ISO,hf_score,hf_quartile,pf_score,ef_score,asciiname,latitude,longitude,country code,population
455,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Step'anavan,41.00995,44.38531,AM,23782.0
456,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Spitak,40.83221,44.26731,AM,15059.0
457,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Sevan,40.5473,44.94171,AM,17083.0
458,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Masis,40.06542,44.41618,AM,18911.0
459,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Vanadzor,40.80456,44.4939,AM,101098.0
460,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Gavarr,40.35398,45.12386,AM,21680.0
461,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Hrazdan,40.49748,44.7662,AM,40795.0
462,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Armavir,40.15446,44.03815,AM,25963.0
463,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Gyumri,40.7942,43.84528,AM,148381.0
464,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Ashtarak,40.2991,44.36204,AM,18779.0
465,AM,ARM,Armenia,2019.0,Armenia,ARM,8.2,1.0,8.32,8.03,Abovyan,40.27368,44.63348,AM,35673.0
664,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Saurimo,-9.66078,20.39155,AO,40498.0
665,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Lucapa,-8.41915,20.74466,AO,20115.0
666,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Luau,-10.70727,22.22466,AO,18465.0
667,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Uige,-7.60874,15.06131,AO,60008.0
668,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Soio,-6.1349,12.36894,AO,67491.0
669,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,N'zeto,-7.23116,12.8666,AO,18352.0
670,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,N'dalatando,-9.29782,14.91162,AO,383100.0
671,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Mbanza Congo,-6.26703,14.2401,AO,24220.0
672,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Malanje,-9.54015,16.34096,AO,87046.0
673,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Luanda,-8.83682,13.23432,AO,2776168.0
674,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Caxito,-8.57848,13.66425,AO,28224.0
675,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Cabinda,-5.55,12.2,AO,66020.0
676,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Sumbe,-11.20605,13.84371,AO,33277.0
677,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Namibe,-15.19611,12.15222,AO,80149.0
678,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Menongue,-14.6585,17.69099,AO,32203.0
679,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Luena,-11.78333,19.91667,AO,21115.0
680,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Lubango,-14.91717,13.4925,AO,102541.0
681,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Longonjo,-12.90667,15.25333,AO,24346.0
682,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Lobito,-12.3644,13.53601,AO,207932.0
683,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Cuito,-12.38333,16.93333,AO,113624.0
684,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Huambo,-12.77611,15.73917,AO,226145.0
685,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Catumbela,-12.43002,13.54677,AO,16977.0
686,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Catabola,-12.15,17.28333,AO,18855.0
687,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Camacupa,-12.01667,17.48333,AO,19150.0
688,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Caluquembe,-13.78333,14.68333,AO,30300.0
689,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Caala,-12.8525,15.56056,AO,21205.0
690,AO,AGO,Angola,2019.0,Angola,AGO,6.09,4.0,6.5,5.5,Benguela,-12.57626,13.40547,AO,151226.0
988,AQ,ATA,Antarctica,2019.0,Antarctica,,,0.0,,,,,,,
989,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Zarate,-34.09814,-59.02858,AR,88781.0
990,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Ortuzar,-34.57973,-58.46829,AR,22500.0
991,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Ocampo,-28.48752,-59.35515,AR,19101.0
992,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Lugano,-34.67907,-58.47263,AR,114000.0
993,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villaguay,-31.8653,-59.02689,AR,32027.0
994,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Gesell,-37.26394,-56.97304,AR,23257.0
995,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Tigre,-34.42603,-58.57962,AR,31106.0
996,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Tandil,-37.32167,-59.13316,AR,104325.0
997,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,San Vicente,-26.61667,-54.13333,AR,38247.0
998,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Santo Tome,-28.54939,-56.04077,AR,22634.0
999,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Santa Elena,-30.94768,-59.78696,AR,18410.0
1000,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,San Pedro,-26.62207,-54.10842,AR,23736.0
1001,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,San Luis del Palmar,-27.5079,-58.55454,AR,15347.0
1002,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,San Lorenzo,-28.13306,-58.76733,AR,47626.0
1003,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,San Javier,-30.57781,-59.9317,AR,15606.0
1004,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,San Isidro,-34.4721,-58.52708,AR,45190.0
1005,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Saladas,-28.25384,-58.62591,AR,18349.0
1006,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Retiro,-34.58333,-58.38333,AR,38635.0
1007,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Resistencia,-27.46056,-58.98389,AR,387158.0
1008,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Reconquista,-29.15,-59.65,AR,90184.0
1009,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Quilmes,-34.72904,-58.26374,AR,518788.0
1010,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Puerto Rico,-26.79598,-55.02402,AR,17491.0
1011,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Puerto Iguazu,-25.59912,-54.57355,AR,32038.0
1012,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Puerto Esperanza,-26.01517,-54.67306,AR,15579.0
1013,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Puerto Eldorado,-26.40843,-54.69463,AR,54189.0
1014,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Posadas,-27.36708,-55.89608,AR,323739.0
1015,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Pontevedra,-34.74785,-58.70072,AR,33515.0
1016,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Pirane,-25.73239,-59.10879,AR,19124.0
1017,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Paso de los Libres,-29.71251,-57.08771,AR,43805.0
